id,sepal lengthCm,sepal widthCm,petallengthCm,petal widthCm,species
283,5.5,2.4,5,0.6,Agave toumeyana Trel. ex Standl. var. toumeyana
286,6.8,3,1.5,0.4,Calopadia puiggarii (Müll. Arg.) Vezda
395,6.4,2.3,5.7,2.1,Portulaca pilosa L.
673,5,3,4.9,1.2,Forestiera godfreyi L.C. Anderson
148,4.9,2.5,6.5,1.7,Acacia implexa Benth.
836,6.3,2,2.7,0.7,Phacelia stebbinsii Constance & Heckard
923,5.3,4,6.1,1.3,Kyllinga Rottb.
309,4.3,3.5,6.8,1.7,Penstemon roezlii Regel
684,4.7,2.8,4,0.3,Stenogyne bifida Hillebr.
15,6.9,2.1,1.3,1.8,Hippuris vulgaris L.
698,7.6,4,6.9,2.4,Astragalus subvestitus (Jeps.) Barneby
195,6.2,2.4,5.2,1.2,Solanum commersonii Dunal ex Poir.
349,7.6,4.1,3.2,1.7,Artemisia stelleriana Besser
716,7.6,3,6.6,0.6,Rumex tomentellus Rech. f.
724,5.6,4.1,3.5,1.6,Lobularia Desv.
121,6.4,4.3,2.1,2.2,Salvia vinacea Wooton & Standl.
189,6.4,3,3.8,1.5,Combretum tetralophum C.B. Clarke
631,6.1,2.3,2.7,2.4,Quercus ×robbinsii Trel.
988,6.6,2.4,4.5,0.7,Epipactis gigantea Douglas ex Hook.
273,4.9,2.3,3.4,2.3,Fimbristylis brevivaginata Kral
905,5.1,2.9,2.4,0.5,Hygroamblystegium tenax (Hedw.) Jenn.
852,6.2,3,1.6,2,Thelypteris simulata (Davenport) Nieuwl.
224,7.7,2.6,5.1,0.1,Monarda L.
191,4.6,2.8,6.7,0.2,Eucalyptus hemiphloia F. Muell. ex Benth.
48,6.2,4.2,4.5,0.5,Clasmatodon parvulus (Hampe) Hook. & Wilson ex Sull.
359,7.7,4.4,4.9,1.9,Tortula Hedw.
746,5.8,2.4,2.1,0.3,Thelypteris quelpaertensis (Christ) Ching
808,5.4,2.6,4.9,0.4,Iris sanguinea Hornem.
539,5.3,2.7,4.6,0.7,Melpomense A.R. Sm. & R.C. Moran
1,6.8,2.6,3.6,1.2,Opuntia fragilis (Nutt.) Haw.
763,5.9,4.3,5.5,1.8,Ixora pavetta Andrews
945,7.7,2.5,5.2,0.8,Brickellia arguta B.L. Rob. var. odontolepis B.L. Rob.
821,4.8,3.4,4,2.3,Rumex krausei Jurtzev & V.V. Petrovsky
169,4.6,3.3,3.4,2.2,Silphium scaberrimum Elliott
44,5.7,2.8,3.1,2.5,Hedyotis knudsenii (Hillebr.) Fosberg
304,4.3,2.4,6.2,2.4,Seligeria careyana Vitt & Schof.
544,6.5,2.8,4,0.2,Arnica frigida C.A. Mey. ex Iljin ssp. griscomii (Fernald) S.R. Downie
952,7.7,4.2,2.6,1.7,Polymnia cossatotensis Pittman & V.M. Bates
241,4.9,2.6,5.7,1.4,Echinacea pallida (Nutt.) Nutt.
969,6.1,4.1,2.7,2.1,Allium tolmiei (Hook.) Baker ex S. Watson var. tolmiei
673,6.1,2.3,3,0.1,Nicotiana excelsior (J.M. Black) J.M. Black
943,6.1,3.8,3.9,2.3,Forchhammeria polyandra (Griseb.) Alain
419,5,4.3,4.6,2.5,Galactia striata (Jacq.) Urb.
118,5.2,2.4,3.6,1,Descurainia paradisa (A. Nelson & Kennedy) O.E. Schulz ssp. nevadensis Rollins
35,7.3,3.6,6.6,2.4,Microchloa caffra Nees
200,7.5,3.1,6.8,2.1,Cinclidium arcticum Bruch & Schimp.
668,7.8,2.4,4.3,1.2,Stanleya pinnata (Pursh) Britton var. inyoensis (Munz & Roos) Reveal
274,4.8,4,1.4,1.3,Pyrrocoma liatriformis Greene
566,6.5,3.3,3.6,2.2,Kiaeria falcata (Hedw.) I. Hagen
361,6.6,4.2,4.6,2.3,Astragalus zionis M.E. Jones
732,5.4,3.4,5.8,0.8,Beloglottis costaricensis (Rchb. f.) Schltr.
456,4.5,3.9,6.1,2.4,Picris echioides L.
115,6.1,2.5,4.7,2.4,Stillingia spinulosa Torr.
313,7.6,3.4,6.3,0.8,Camassia leichtlinii (Baker) S. Watson
784,5.8,2.8,3.5,1.1,Melanelia elegantula (Zahlbr.) Essl.
327,5.1,3,3.7,2.4,Asplenium uniseriale Raddi
132,5,2.4,3,0.8,Didymodon vinealis (Brid.) R.H. Zander var. brachyphyllus (Sull.) R.H. Zander
962,4.2,4,6.5,1.5,Gutierrezia texana (DC.) Torr. & A. Gray var. glutinosa (S. Schauer) M.A. Lane
888,5.4,3.2,6.8,1.5,Bryum knowltonii Barnes
68,4.7,2.1,3.7,1.8,Gossypianthus lanuginosus (Poir.) Moq. var. tenuiflorus (Hook.) Mears ex Henrickson
651,7.7,4.3,5.5,2.5,Spondias mombin L.
686,4.5,2.7,1.3,1.8,Usnea monstruosa Vain.
982,4.3,3.5,2.8,1,Ehretia P. Br.
824,6.6,2.6,2.1,2,Lipocarpha occidentalis (A. Gray) G. Tucker
607,5.7,2.5,1.8,2,Passiflora arizonica (Killip) D.H. Goldman
971,6.2,4.3,4.6,0.6,Gilia flavocincta A. Nelson
184,7.6,3.6,5.8,0.6,Arabis crucisetosa Constance & Rollins
602,5.1,2.9,3.3,2,Potentilla gracilis Douglas ex Hook. var. flabelliformis (Lehm.) Nutt. ex Torr. & A. Gray
756,4.2,3.3,2.7,0.6,Epilobium septentrionale (D.D. Keck) R.N. Bowman & Hoch
217,5.9,2.2,2.2,1,Panicum trichanthum Nees
404,6.2,2.3,6.6,1.8,Erigeron austiniae Greene
160,5.2,2.7,2.5,0.4,Huperzia appalachiana Beitel & Mickel
906,4.2,3.9,6.5,0.4,Aulacomnium heterostichum (Hedw.) Bruch & Schimp.
380,5.6,3.2,5.6,1.2,Lesquerella alpina (Nutt.) S. Watson
893,7.2,4.3,3.9,2,Sideroxylon alachuense L.C. Anderson
163,6.5,2.6,4.4,2,Melanthera ligulata Small
494,4.4,3.6,3.9,1.7,Nigella hispanica L.
506,6.3,4.2,4.1,0.3,Cuscuta attenuata Waterf.
61,5.8,3.2,6.3,1.7,Jasminum nitidum Skan
931,4.4,4.3,1.7,1.5,Nymphaea amazonum Mart. & Zucc.
37,6,2.6,4.5,1.5,Hymenophyllum brevifrons Kunze
883,7.3,3,6.9,1.9,Triticum timopheevii (Zhuk.) Zhuk.
307,5.3,2.4,1.1,1.9,Trichosanthes dioica Roxb.
671,5.8,3.9,3.8,1.7,Vernonia larseniae B.L. King & S.B. Jones
989,7,3.7,6.7,0.9,Stenandrium dulce (Cav.) Nees var. floridanum A. Gray
877,6.7,2.7,2.9,0.6,Arenaria congesta Nutt. var. subcongesta (S. Watson) S. Watson
825,4.4,4.1,4,0.2,Aloysia wrightii (A. Gray) A. Heller
126,4.3,4.1,4.4,1.5,Urvillea Kunth
133,6.5,2.8,5.7,2.3,Camissonia kernensis (Munz) P.H. Raven ssp. kernensis
945,4.5,4,6.6,0.6,Cordylanthus orcuttianus A. Gray
460,4.7,4.1,1.3,1,Penstemon lentus Pennell var. lentus
928,6.6,4.1,5.2,0.8,Halimolobos perplexa (L.F. Hend.) Rollins var. perplexa
334,5.6,2.2,5.9,1.1,Vaccinium angustifolium Aiton
907,4.4,3.2,1.3,1.7,Sterculia foetida L.
977,5.9,3,6.7,0.7,Equisetum ×nelsonii (A.A. Eaton) Schaffn. (pro sp.)
94,5.9,4,3.3,1.2,Rubus hawaiensis A. Gray
850,4.6,3.2,6.7,1.4,Lycopodiella appressa (Chapm.) Cranfill
555,7.7,4.2,1.9,2.4,Dryopteris campyloptera Clarkson
650,5.7,3.2,2.7,1.1,Parnassia glauca Raf.
224,6.9,4.1,1.6,0.9,Aeschynomene gracilis Vogel
433,4.3,2.9,1.2,1.6,Polygonatum Mill.
611,6,4.4,5.3,0.8,Desmodium pauciflorum (Nutt.) DC.
34,7.9,3.7,5.1,1.7,Floerkea proserpinacoides Willd.
857,4.4,4.1,1.7,0.6,Senecio fremontii Torr. & A. Gray var. fremontii
508,4.4,2.9,5.2,2.1,Habenaria alata Hook.
